code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
688239,0.3473,1.0,0.628,0.4773
301053,0.2146,1.0,0.8067,0.4815
688697,0.3462,1.0,0.6245,0.4313
001211,0.3408,1.0,0.6181,0.6458
300952,0.4409,1.0,0.6569,0.4613
301029,0.1643,1.0,0.7713,0.4688
688701,0.2548,1.0,0.8674,0.4837
301036,0.3457,1.0,0.617,0.5186
001288,0.3073,1.0,0.8756,0.4774
688319,0.2616,1.0,0.6428,0.5692
688728,0.3172,1.0,0.7243,0.4573
301055,0.2995,1.0,0.6065,0.6035
688622,0.3253,1.0,0.7537,0.4214
001219,0.1935,1.0,0.9035,0.4569
301076,0.3451,1.0,0.6232,0.5195
301073,0.3105,1.0,0.6266,0.6779
301035,0.3092,1.0,0.7527,0.5395
301088,0.3388,1.0,0.7154,0.5703
688707,0.126,1.0,0.7174,0.5646
603171,0.2135,1.0,0.669,0.5406
301086,0.316,1.0,0.8761,0.43
688786,0.2231,1.0,0.7222,0.4643
301068,0.2744,1.0,0.8888,0.4865
605598,0.3577,1.0,0.6209,0.5499
301033,0.3415,1.0,0.6333,0.5398
301046,0.257,1.0,0.8991,0.5604
301083,0.3022,1.0,0.754,0.4221
605555,0.2656,1.0,0.6934,0.5224
301188,0.299,1.0,0.6994,0.449
301042,0.3443,1.0,0.6324,0.4238
301009,0.3443,1.0,0.6329,0.5303
688601,0.2721,0.9667,0.6254,0.6743
605196,0.2404,0.9592,0.678,0.5496
688097,0.3033,0.9592,0.6596,0.3875
605162,0.2523,0.9583,0.6399,0.6309
300911,0.4178,0.9467,0.6461,0.4725
605398,0.4433,0.9444,0.6261,0.4332
605258,0.2934,0.9298,0.675,0.6202
003036,0.3257,0.9259,0.6305,0.5793
605378,0.3468,0.9231,0.622,0.502
300949,0.3666,0.9222,0.6251,0.5536
003000,0.4266,0.9196,0.6557,0.473
301018,0.3406,0.9167,0.6165,0.5825
000886,0.3867,0.9167,0.6261,0.5628
300951,0.3911,0.9111,0.667,0.4793
301010,0.1806,0.9091,0.8199,0.4418
301000,0.2817,0.9048,0.8073,0.4655
600613,0.4339,0.9042,0.6702,0.4361
002116,0.5005,0.9037,0.5993,0.6559
002030,0.4405,0.9032,0.6373,0.5401
300955,0.3769,0.9028,0.7529,0.6038
603060,0.4354,0.8961,0.6589,0.5723
688536,0.4007,0.8894,0.6522,0.5244
600375,0.4247,0.8846,0.6654,0.5518
300918,0.4536,0.8846,0.6233,0.6935
002513,0.4039,0.8812,0.6215,0.5947
600757,0.4552,0.8782,0.6097,0.6158
603068,0.4464,0.8755,0.6867,0.5294
000029,0.3996,0.8736,0.7185,0.4626
300994,0.3123,0.8667,0.658,0.3693
301043,0.286,0.8667,0.7123,0.51
688076,0.3146,0.8667,0.6424,0.4836
688383,0.2887,0.8636,0.5584,0.7035
688560,0.4164,0.8627,0.6362,0.5972
300887,0.4277,0.8616,0.7074,0.5551
688626,0.4309,0.8611,0.6955,0.5221
688226,0.2953,0.8571,0.6626,0.4923
603667,0.4526,0.8545,0.6524,0.5356
002423,0.4694,0.8533,0.5993,0.5909
002584,0.4078,0.8521,0.809,0.3886
300406,0.4027,0.8496,0.6244,0.6115
300632,0.4376,0.8491,0.6869,0.5325
002559,0.4544,0.8469,0.667,0.4823
603327,0.4578,0.8467,0.6382,0.5395
300763,0.439,0.846,0.7944,0.435
300945,0.4293,0.8452,0.6645,0.4997
688378,0.376,0.8445,0.7104,0.4524
600800,0.414,0.8426,0.612,0.6741
300936,0.4369,0.8426,0.6273,0.5276
600355,0.5078,0.8425,0.6254,0.3787
688599,0.4961,0.8424,0.6444,0.4599
000409,0.4272,0.8424,0.6255,0.5713
603112,0.3895,0.8421,0.7376,0.3689
688501,0.3194,0.84,0.6621,0.4696
688390,0.4346,0.8384,0.6293,0.5289
002843,0.4448,0.8382,0.6433,0.5687
300847,0.3313,0.8367,0.6978,0.5901
002283,0.4603,0.8364,0.6258,0.593
601279,0.3562,0.8333,0.6128,0.5341
688597,0.3445,0.8333,0.6184,0.5701
688269,0.3331,0.8333,0.6109,0.5825
688690,0.344,0.8333,0.6321,0.4943
301024,0.2835,0.8333,0.7768,0.4615
688776,0.3269,0.8333,1.255,0.4914
301067,0.349,0.8333,0.6258,0.5431
600252,0.4727,0.8315,0.9119,0.5636
000065,0.4589,0.8314,0.6117,0.5753
605389,0.4718,0.8308,0.6245,0.5457
300922,0.3754,0.8308,0.5831,0.6193
002135,0.4043,0.8308,0.6233,0.5092
000735,0.4422,0.8306,0.669,0.521
605168,0.4534,0.8303,0.6397,0.4732
688517,0.3171,0.8286,0.6548,0.5204
603759,0.4525,0.8286,0.6111,0.6062
300204,0.4364,0.8286,0.6431,0.5429
300549,0.4392,0.8278,0.5915,0.619
002503,0.4543,0.8278,0.6679,0.4546
688379,0.3748,0.8259,0.6554,0.4855
605189,0.3201,0.825,0.6419,0.487
002946,0.4749,0.8243,0.651,0.4628
603637,0.4438,0.8242,0.6441,0.5438
300124,0.4728,0.8236,0.7139,0.4002
600823,0.4857,0.8223,0.6259,0.4356
603331,0.4737,0.8222,0.6105,0.6012
002341,0.4434,0.8207,0.6718,0.5935
300756,0.4656,0.8204,0.6395,0.5372
300982,0.2745,0.82,0.648,0.5263
300679,0.4506,0.8187,0.6126,0.5873
002646,0.4716,0.8187,0.5985,0.5832
300909,0.4336,0.8182,0.617,0.5978
300976,0.3498,0.8182,0.6207,0.4583
000576,0.4362,0.8176,0.6134,0.5545
300796,0.4818,0.8168,0.6218,0.5906
603626,0.443,0.8167,0.7055,0.4962
002293,0.4485,0.8167,0.6426,0.4273
000701,0.4467,0.8152,0.7024,0.5029
600192,0.46,0.815,0.6418,0.5171
300430,0.4407,0.8134,0.6535,0.5349
300755,0.448,0.8132,0.6342,0.5892
603829,0.4562,0.8132,0.6395,0.5258
688315,0.3225,0.8125,0.7327,0.4623
600844,0.4737,0.812,0.6218,0.6419
300414,0.4632,0.8102,0.5983,0.5708
300699,0.4731,0.8098,0.6219,0.5347
002578,0.4333,0.808,0.6785,0.5931
300903,0.4288,0.8077,0.643,0.5883
300117,0.3936,0.8074,0.75,0.5188
000652,0.4564,0.8073,0.6508,0.5521
000705,0.4563,0.8073,0.6939,0.4394
600595,0.4646,0.8068,1.4952,0.5761
300675,0.4808,0.8062,0.5873,0.5623
002364,0.482,0.8059,0.6224,0.5684
603833,0.4298,0.8055,0.7227,0.4367
300100,0.4849,0.8043,0.6275,0.4932
600819,0.4535,0.8022,0.655,0.5692
688330,0.42,0.8021,0.6117,0.5932
002598,0.4388,0.8019,0.613,0.5844
603085,0.4645,0.8008,0.5649,0.695
002701,0.4626,0.8007,0.6321,0.5117
301030,0.2981,0.8,1.088,0.4801
301019,0.3076,0.8,0.7299,0.5162
301059,0.3507,0.8,0.6236,0.5129
