datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.0131,101305.6675,2645.6675
2022-06-06,0.0000,0.0000,0.0119,102507.4775,35397.4775
2022-06-07,0.1561,0.1561,-0.0016,102347.4775,35397.4775
2022-06-08,0.6926,0.6926,-0.0054,101797.4775,35397.4775
2022-06-09,1.8925,1.8925,-0.0121,100567.4775,35397.4775
2022-06-10,1.8535,1.8925,0.0004,100607.4775,35397.4775
2022-06-13,0.2146,1.8925,0.0167,102287.4775,35397.4775
2022-06-14,1.5121,1.8925,-0.0130,100957.4775,35397.4775
2022-06-15,1.6291,1.8925,-0.0012,100837.4775,35397.4775
2022-06-16,1.3170,1.8925,0.0032,101157.4775,35397.4775
2022-06-17,1.5999,1.8925,-0.0029,100867.4775,35397.4775
2022-06-20,0.6341,1.8925,0.0098,101857.4775,35397.4775
2022-06-21,0.3902,1.8925,0.0025,102107.4775,35397.4775
2022-06-22,1.5316,1.8925,-0.0115,100937.4775,35397.4775
2022-06-23,1.2957,1.8925,0.0024,101179.3075,68069.3075
2022-06-24,0.9640,1.8925,0.0034,101519.3075,68069.3075
2022-06-27,0.4957,1.8925,0.0047,101999.3075,68069.3075
2022-06-28,0.0000,1.8925,0.0116,103179.3075,68069.3075
2022-06-29,0.0000,1.8925,0.0023,103419.3075,68069.3075
2022-06-30,0.2514,1.8925,-0.0025,103159.3075,68069.3075
2022-07-01,0.5995,1.8925,-0.0035,102799.3075,68069.3075
2022-07-04,0.0000,1.8925,0.0086,103679.3075,68069.3075
2022-07-05,0.0000,1.8925,0.0122,104949.3075,68069.3075
2022-07-06,2.0200,2.0200,-0.0202,102829.3075,68069.3075
2022-07-07,1.7056,2.0200,0.0032,103159.3075,68069.3075
2022-07-08,1.1434,2.0200,0.0057,103749.3075,68069.3075
2022-07-11,1.4483,2.0200,-0.0031,103429.3075,68069.3075
2022-07-12,2.5536,2.5536,-0.0112,102269.3075,68069.3075
2022-07-13,2.5536,2.5536,0.0000,102269.3075,68069.3075
2022-07-14,1.2863,2.5536,0.0130,103599.3075,68069.3075
2022-07-15,1.4293,2.5536,-0.0014,103449.3075,68069.3075
2022-07-18,1.3340,2.5536,0.0010,103549.3075,68069.3075
2022-07-19,0.9338,2.5536,0.0041,103969.3075,68069.3075
2022-07-20,0.6384,2.5536,0.0030,104279.3075,68069.3075
2022-07-21,0.0000,2.5536,0.0116,105485.1536,107075.1536
2022-07-22,0.0000,2.5536,0.0113,106675.1536,107075.1536
2022-07-25,0.0000,2.5536,0.0032,107015.1536,107075.1536
2022-07-26,0.5233,2.5536,-0.0052,106455.1536,107075.1536
2022-07-27,1.3082,2.5536,-0.0079,105615.1536,107075.1536
2022-07-28,2.3642,2.5536,-0.0107,104485.1536,107075.1536
2022-07-29,3.3079,3.3079,-0.0097,103475.1536,107075.1536
2022-08-01,3.4481,3.4481,-0.0014,103325.1536,107075.1536
2022-08-02,3.8686,3.8686,-0.0044,102875.1536,107075.1536
2022-08-03,3.4388,3.8686,0.0045,103335.1536,107075.1536
2022-08-04,4.2878,4.2878,-0.0088,102426.5936,141306.5936
2022-08-05,4.5707,4.5707,-0.0030,102123.7981,10091.7981
2022-08-08,3.0170,4.5707,0.0163,103786.5081,43243.5081
2022-08-09,0.2798,4.5707,0.0282,106715.6986,36003.6986
2022-08-10,0.0000,4.5707,0.0072,107488.6986,36003.6986
2022-08-11,0.6419,4.5707,-0.0064,106798.6986,36003.6986
2022-08-12,0.5662,4.5707,0.0008,106880.1436,62217.1436
2022-08-15,0.0349,4.5707,0.0053,107451.1436,62217.1436
2022-08-16,0.0000,4.5707,0.0091,108426.7414,99816.7414
2022-08-17,0.0000,4.5707,0.0068,109165.1677,140741.1677
2022-08-18,0.0000,4.5707,0.0149,110794.1677,140741.1677
2022-08-19,0.1580,4.5707,-0.0016,110619.1677,140741.1677
2022-08-22,0.8241,4.5707,-0.0067,109881.1677,140741.1677
2022-08-23,1.3568,4.5707,-0.0054,109290.9380,168532.9380
2022-08-24,0.0000,4.5707,0.0164,111087.9380,168532.9380
2022-08-25,0.0000,4.5707,0.0070,111860.9564,197731.9564
2022-08-26,0.0000,4.5707,0.0048,112401.9564,197731.9564
2022-08-29,3.2197,4.5707,-0.0322,108782.9564,197731.9564
2022-08-30,1.8496,4.5707,0.0142,110322.9564,197731.9564
2022-08-31,0.0089,4.5707,0.0188,112391.9564,197731.9564
2022-09-01,4.0017,4.5707,-0.0399,107903.9564,197731.9564
2022-09-02,4.0168,4.5707,-0.0002,107886.9972,-6156.0028
2022-09-05,3.2887,4.5707,0.0076,108705.3929,24253.3929
2022-09-06,1.9640,4.5707,0.0137,110194.4079,60184.4079
2022-09-07,1.9435,4.5707,0.0002,110217.4079,60184.4079
2022-09-08,3.0279,4.5707,-0.0111,108998.5692,95530.5692
2022-09-09,3.6313,4.5707,-0.0062,108320.3100,127759.3100
2022-09-13,3.3688,4.5707,0.0027,108615.3100,127759.3100
2022-09-14,3.7265,4.5707,-0.0037,108213.3100,127759.3100
2022-09-15,3.3547,4.5707,0.0039,108631.2052,156971.2052
2022-09-16,3.2275,4.5707,0.0013,108774.2052,156971.2052
2022-09-19,1.1885,4.5707,0.0211,111066.1028,278630.1028
2022-09-20,2.6119,4.5707,-0.0144,109466.1028,278630.1028
2022-09-21,4.5105,4.5707,-0.0195,107332.1028,278630.1028
2022-09-22,3.1342,4.5707,0.0144,108879.1028,278630.1028
2022-09-23,0.0000,4.5707,0.0338,112555.1028,278630.1028
2022-09-26,0.0000,4.5707,0.0375,116781.1028,278630.1028
2022-09-27,3.3661,4.5707,-0.0337,112850.1028,278630.1028
2022-09-28,2.0329,4.5707,0.0138,114407.1028,278630.1028
2022-09-29,1.2030,4.5707,0.0085,115376.2028,251023.2028
2022-09-30,0.0230,4.5707,0.0119,116754.2028,251023.2028
2022-10-10,0.0000,4.5707,0.0214,119247.9817,282299.9817
2022-10-11,0.0000,4.5707,0.0031,119613.0787,254681.0787
2022-10-12,0.0000,4.5707,0.0264,122776.7252,21208.7252
2022-10-13,0.0000,4.5707,0.0126,124322.7252,21208.7252
2022-10-14,0.0000,4.5707,0.0222,127087.7252,21208.7252
2022-10-17,0.0000,4.5707,0.0389,132029.7252,21208.7252
2022-10-18,0.0000,4.5707,0.0001,132039.9077,32475.9077
2022-10-19,0.0000,4.5707,0.0014,132218.9077,32475.9077
2022-10-20,0.4871,4.5707,-0.0049,131574.9077,32475.9077
2022-10-21,0.0000,4.5707,0.0055,132296.7387,41149.7387
2022-10-24,0.0000,4.5707,0.0009,132418.0748,86354.0748
2022-10-25,0.0000,4.5707,0.0096,133684.1005,126241.1005
2022-10-26,0.3254,4.5707,-0.0033,133249.1005,126241.1005
2022-10-27,1.0345,4.5707,-0.0071,132301.1005,126241.1005
2022-10-28,0.8586,4.5707,0.0018,132536.2350,153696.2350
