datetime,buysell
2022-06-01,"[('buy', '301042'), ('buy', '301088'), ('buy', '605398')]"
2022-06-02,"[('sell', '301088')]"
2022-06-22,"[('sell', '301042')]"
2022-07-20,"[('sell', '301042')]"
2022-08-03,"[('sell', '605398')]"
2022-08-04,"[('buy', '301042'), ('buy', '301083'), ('buy', '605196'), ('buy', '301068')]"
2022-08-05,"[('sell', '605196')]"
2022-08-08,"[('buy', '301042')]"
2022-08-11,"[('sell', '605398')]"
2022-08-15,"[('sell', '301068')]"
2022-08-16,"[('sell', '301068')]"
2022-08-22,"[('sell', '301042')]"
2022-08-24,"[('sell', '301083')]"
2022-09-01,"[('buy', '300949'), ('buy', '301036'), ('buy', '301035'), ('buy', '301010'), ('buy', '001211'), ('buy', '301068')]"
2022-09-02,"[('sell', '301035')]"
2022-09-05,"[('sell', '300949')]"
2022-09-07,"[('sell', '001211')]"
2022-09-08,"[('sell', '301010')]"
2022-09-14,"[('sell', '605196')]"
2022-09-16,"[('sell', '301088'), ('sell', '300949'), ('sell', '301036'), ('sell', '301068')]"
2022-09-28,"[('buy', '605196')]"
2022-09-30,"[('sell', '001211')]"
2022-10-10,"[('buy', '301068')]"
2022-10-11,"[('buy', '301009'), ('buy', '301083'), ('buy', '301029'), ('buy', '605398'), ('buy', '301088'), ('buy', '001211')]"
2022-10-17,"[('sell', '301088')]"
2022-10-20,"[('sell', '001211')]"
2022-10-21,"[('sell', '301029')]"
2022-10-24,"[('sell', '301009')]"
2022-10-27,"[('sell', '301035')]"
2022-10-28,"[('sell', '605398')]"
2022-11-01,"[('sell', '301083')]"
2022-11-04,"[('buy', '605258'), ('buy', '301068'), ('buy', '002030'), ('buy', '301073'), ('buy', '688622')]"
2022-11-08,"[('sell', '605258')]"
2022-11-10,"[('sell', '301073'), ('sell', '688622')]"
2022-11-21,"[('sell', '301088')]"
2022-11-22,"[('sell', '301068'), ('sell', '002030')]"
2022-11-28,"[('sell', '605258')]"
