code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
301091,0.2257,1.0,0.3343,0.6406
301052,0.3152,1.0,0.3964,0.5484
688707,0.115,1.0,0.4004,0.5488
301052,0.3152,1.0,0.3964,0.5484
688776,0.3251,1.0,0.3456,0.5408
301087,0.3056,1.0,0.427,0.5322
301013,0.2289,1.0,0.3739,0.3485
301016,0.3381,1.0,0.3518,0.5358
301076,0.3007,1.0,0.3662,0.4091
688319,0.2578,1.0,0.3518,0.5697
301004,0.2068,1.0,0.4368,0.5319
688075,0.3101,1.0,0.4375,0.417
688075,0.3101,1.0,0.4375,0.417
605555,0.3024,1.0,0.3466,0.5776
001267,0.3457,1.0,0.3556,0.4612
301053,0.1583,1.0,0.4236,0.53
301053,0.1583,1.0,0.4236,0.53
001219,0.2492,1.0,0.5142,0.4889
301036,0.3265,1.0,0.3567,0.5361
300988,0.3173,0.9556,0.3383,0.597
301000,0.2851,0.9524,0.3656,0.5241
300955,0.3045,0.9444,0.3464,0.6022
301024,0.2744,0.9444,0.3811,0.4979
001209,0.3435,0.9444,0.3484,0.4835
301046,0.2818,0.9375,0.4964,0.5433
300994,0.3047,0.9333,0.3759,0.3936
688136,0.225,0.9306,0.4019,0.4897
603759,0.2576,0.9286,0.3854,0.5437
300931,0.2586,0.9265,0.4274,0.518
300925,0.3093,0.9222,0.3678,0.3998
688625,0.2763,0.9167,0.3686,0.5097
688728,0.2629,0.9167,0.4572,0.5025
688269,0.2236,0.9167,0.3811,0.4862
000886,0.2767,0.9111,0.3388,0.5746
300951,0.3194,0.9111,0.3475,0.5037
605089,0.2819,0.9107,0.4292,0.5015
300911,0.3069,0.9067,0.3639,0.3917
301023,0.3024,0.9048,0.3599,0.5245
301032,0.3148,0.9,0.3389,0.5679
688509,0.2735,0.8889,0.3785,0.6124
603019,0.2686,0.8835,0.3652,0.5583
605151,0.2668,0.8741,0.3583,0.5974
003039,0.3454,0.8701,0.3649,0.5384
605077,0.2687,0.869,0.3667,0.5701
600192,0.2785,0.8681,0.3708,0.5348
300949,0.3184,0.8667,0.3815,0.5424
301043,0.3051,0.8667,0.4016,0.4645
688356,0.2699,0.8667,0.3664,0.607
002114,0.2844,0.8571,0.3437,0.6031
300501,0.2559,0.8569,0.3566,0.5494
002246,0.2792,0.8569,0.4211,0.4331
000801,0.2419,0.8563,0.4187,0.3346
300580,0.2706,0.8533,0.3315,0.6248
300614,0.3382,0.85,0.3498,0.6078
301030,0.3129,0.85,0.4197,0.4948
301035,0.3057,0.85,0.3681,0.52
600455,0.3018,0.8478,0.3416,0.5673
300412,0.3123,0.8462,0.3675,0.5847
300952,0.2953,0.8442,0.3918,0.5813
300685,0.3341,0.8412,0.3437,0.4587
605058,0.2961,0.8396,0.4379,0.4847
688379,0.2866,0.8381,0.3697,0.5393
300881,0.2973,0.8361,0.3511,0.6245
603637,0.283,0.8352,0.3371,0.6274
002364,0.2931,0.8352,0.3607,0.4969
605365,0.3369,0.8333,0.3516,0.5029
688670,0.3397,0.8333,0.3439,0.5695
301066,0.3457,0.8333,0.348,0.4774
001217,0.3313,0.8333,0.361,0.5825
301067,0.3182,0.8333,0.4177,0.4657
300875,0.2633,0.8326,0.3447,0.613
300763,0.2909,0.8297,0.4848,0.3824
603505,0.3389,0.8297,0.3447,0.5786
603505,0.3389,0.8297,0.3447,0.5786
300763,0.2909,0.8297,0.4848,0.3824
002651,0.3131,0.8297,0.3441,0.5333
300203,0.2775,0.8278,0.3686,0.6354
605108,0.3239,0.8264,0.3529,0.4573
600830,0.2918,0.826,0.3389,0.5969
600605,0.2651,0.8252,0.3517,0.5744
300995,0.2912,0.825,0.3971,0.4833
000909,0.3232,0.8229,0.3534,0.4852
603661,0.2907,0.8201,0.4203,0.3587
603661,0.2907,0.8201,0.4203,0.3587
003021,0.2872,0.8194,0.3703,0.5023
301010,0.1921,0.8182,0.3641,0.4711
688316,0.2685,0.8182,0.4117,0.48
000037,0.3244,0.8177,0.3745,0.5742
600488,0.3273,0.8177,0.3533,0.5366
300929,0.2658,0.8163,0.4018,0.4052
001205,0.3083,0.8163,0.3855,0.5031
300920,0.2493,0.8137,0.4714,0.5337
300042,0.3019,0.8109,0.3655,0.4785
002846,0.3084,0.8109,0.3804,0.4446
600595,0.3217,0.8106,0.4031,0.4355
600200,0.3226,0.8098,0.3431,0.5865
605186,0.2963,0.8095,0.4287,0.5252
600183,0.3143,0.8095,0.3641,0.4356
002033,0.3023,0.8091,0.3505,0.5796
300932,0.2291,0.8088,0.4501,0.5547
002322,0.298,0.808,0.3321,0.6378
600732,0.3286,0.8062,0.3456,0.533
601066,0.3273,0.8059,0.352,0.5075
601388,0.3144,0.8059,0.3356,0.6141
300978,0.2322,0.8056,0.511,0.4325
300935,0.2509,0.8056,0.3519,0.6321
300897,0.3316,0.8048,0.3695,0.482
601398,0.3153,0.8043,0.3578,0.4882
002514,0.2785,0.8043,0.3989,0.4769
002175,0.3021,0.804,0.3537,0.5369
600580,0.3063,0.804,0.374,0.5117
002951,0.3168,0.8039,0.3411,0.5917
603099,0.2849,0.8036,0.3414,0.5406
600108,0.2809,0.8027,0.4508,0.61
002040,0.3362,0.8021,0.3455,0.5315
603326,0.3128,0.802,0.3417,0.6502
600150,0.3295,0.8018,0.363,0.4634
300859,0.3093,0.8016,0.3425,0.585
600616,0.298,0.8008,0.3645,0.5356
002578,0.2986,0.8007,0.3819,0.5178
002877,0.3033,0.8,0.3467,0.5646
301056,0.2724,0.8,0.3684,0.6243
688575,0.3139,0.8,0.351,0.5339
600971,0.2966,0.8,0.3343,0.6076
001211,0.3377,0.8,0.3359,0.6318
301037,0.3326,0.8,0.4098,0.46
301059,0.3227,0.8,0.3754,0.5354
