datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.1063,110629.2860,5120.2860
2022-06-06,0.0000,0.0000,0.0144,112217.1122,78917.1122
2022-06-07,0.8020,0.8020,-0.0080,111317.1122,78917.1122
2022-06-08,1.0827,1.0827,-0.0028,111002.1122,78917.1122
2022-06-09,2.7616,2.7616,-0.0170,109118.1122,78917.1122
2022-06-10,1.8714,2.7616,0.0092,110117.1122,78917.1122
2022-06-13,1.4971,2.7616,0.0038,110537.1122,78917.1122
2022-06-14,2.2724,2.7616,-0.0079,109667.1122,78917.1122
2022-06-15,2.4381,2.7616,-0.0017,109481.1122,78917.1122
2022-06-16,2.2430,2.7616,0.0020,109700.1122,78917.1122
2022-06-17,2.6481,2.7616,-0.0041,109245.5282,109245.5282
2022-06-20,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-21,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-22,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-23,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-24,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-27,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-28,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-29,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-06-30,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-01,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-04,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-05,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-06,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-07,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-08,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-11,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-12,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-13,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-14,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-15,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-18,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-19,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-20,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-21,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-22,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-25,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-26,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-27,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-28,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-07-29,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-01,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-02,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-03,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-04,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-05,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-08,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-09,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-10,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-11,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-12,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-15,2.6481,2.7616,0.0000,109245.5282,109245.5282
2022-08-16,1.6681,2.7616,0.0101,110345.1934,147695.1934
2022-08-17,2.1520,2.7616,-0.0049,109802.1934,147695.1934
2022-08-18,3.4967,3.4967,-0.0137,108293.1934,147695.1934
2022-08-19,3.3149,3.4967,0.0019,108497.1934,147695.1934
2022-08-22,3.1920,3.4967,0.0013,108635.1934,147695.1934
2022-08-23,3.8710,3.8710,-0.0070,107873.1934,147695.1934
2022-08-24,2.2696,3.8710,0.0167,109670.1934,147695.1934
2022-08-25,2.7375,3.8710,-0.0048,109145.1934,147695.1934
2022-08-26,5.8119,5.8119,-0.0316,105695.1934,147695.1934
2022-08-29,4.7693,5.8119,0.0111,106865.1934,147695.1934
2022-08-30,4.6596,5.8119,0.0012,106988.1934,147695.1934
2022-08-31,3.2722,5.8119,0.0146,108545.1934,147695.1934
2022-09-01,3.1920,5.8119,0.0008,108635.1934,147695.1934
2022-09-02,2.9166,5.8119,0.0028,108944.1934,147695.1934
2022-09-05,2.4193,5.8119,0.0051,109502.1934,147695.1934
2022-09-06,2.8391,5.8119,-0.0043,109031.1934,147695.1934
2022-09-07,2.6038,5.8119,0.0024,109295.1934,147695.1934
2022-09-08,1.9141,5.8119,0.0071,110069.1934,147695.1934
2022-09-09,1.7162,5.8119,0.0020,110291.1934,147695.1934
2022-09-13,1.8312,5.8119,-0.0012,110162.1934,147695.1934
2022-09-14,1.5345,5.8119,0.0030,110495.1934,147695.1934
2022-09-15,0.5988,5.8119,0.0095,111545.1934,147695.1934
2022-09-16,0.2566,5.8119,0.0034,111929.1934,147695.1934
2022-09-19,0.0000,5.8119,0.0037,112346.1934,147695.1934
2022-09-20,0.3952,5.8119,-0.0040,111902.1934,147695.1934
2022-09-21,0.2537,5.8119,0.0014,112061.1934,147695.1934
2022-09-22,0.3098,5.8119,-0.0006,111998.1934,147695.1934
2022-09-23,0.0000,5.8119,0.0074,112829.1934,147695.1934
2022-09-26,1.0290,5.8119,-0.0103,111668.1934,147695.1934
2022-09-27,2.5738,5.8119,-0.0156,109925.1934,147695.1934
2022-09-28,1.6698,5.8119,0.0093,110945.1934,147695.1934
2022-09-29,1.5820,5.8119,0.0009,111044.1934,147695.1934
2022-09-30,0.0000,5.8119,0.0166,112892.1934,147695.1934
2022-10-10,0.0000,5.8119,0.0000,112895.1934,147695.1934
2022-10-11,0.0000,5.8119,0.0935,123452.1934,147695.1934
2022-10-12,0.0000,5.8119,0.0042,123965.1934,147695.1934
2022-10-13,0.1355,5.8119,-0.0014,123797.1934,147695.1934
2022-10-14,0.0000,5.8119,0.0096,124989.2881,4038.2881
2022-10-17,0.0000,5.8119,0.0004,125040.0044,45163.0044
2022-10-18,0.0000,5.8119,0.0019,125279.0044,45163.0044
2022-10-19,1.2374,5.8119,-0.0124,123728.7406,86207.7406
2022-10-20,1.6094,5.8119,-0.0038,123262.7406,86207.7406
2022-10-21,1.3476,5.8119,0.0027,123590.7406,86207.7406
2022-10-24,0.0000,5.8119,0.0156,125515.7406,86207.7406
2022-10-25,0.0000,5.8119,0.0146,127347.7406,86207.7406
2022-10-26,0.2262,5.8119,-0.0023,127059.7274,110254.7274
2022-10-27,0.0000,5.8119,0.0028,127419.9519,153345.9519
2022-10-28,1.7817,5.8119,-0.0178,125149.7371,174199.7371
2022-10-31,3.0586,5.8119,-0.0130,123522.7371,174199.7371
