datetime,buysell
2022-06-01,"[('buy', '688509'), ('buy', '688707'), ('buy', '688269')]"
2022-06-02,"[('sell', '688509'), ('sell', '688707')]"
2022-06-16,"[('sell', '688269')]"
2022-08-15,"[('sell', '688269')]"
2022-10-13,"[('buy', '688509'), ('buy', '003039'), ('buy', '603759'), ('buy', '688776')]"
2022-10-14,"[('sell', '688509')]"
2022-10-18,"[('sell', '003039')]"
2022-10-25,"[('sell', '688776')]"
2022-10-26,"[('sell', '603759')]"
2022-10-27,"[('sell', '688776')]"
2022-11-28,"[('sell', '003039')]"
