code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
001212,0.313,1.0,0.3506,0.4058
301083,0.3302,1.0,0.451,0.4072
301169,0.3028,1.0,0.4432,0.5431
301091,0.3085,1.0,0.3275,0.6512
300964,0.3426,1.0,0.3458,0.5276
688776,0.3083,1.0,0.3433,0.5839
688707,0.18,1.0,0.431,0.459
001213,0.3312,1.0,0.3473,0.4761
301076,0.3182,1.0,0.3616,0.3024
301087,0.3085,1.0,0.4484,0.469
301013,0.2256,1.0,0.3926,0.3377
605555,0.3235,1.0,0.373,0.4916
001209,0.3425,1.0,0.3475,0.4833
301035,0.2894,1.0,0.3815,0.5535
001217,0.3235,1.0,0.3266,0.7426
001219,0.2976,1.0,0.5033,0.4868
605567,0.3412,1.0,0.3441,0.6055
605499,0.3556,0.9545,0.346,0.5602
688269,0.2976,0.9444,0.3412,0.5945
688509,0.289,0.9444,0.3535,0.5424
301024,0.2632,0.9444,0.3661,0.5422
300929,0.2581,0.9388,0.403,0.4253
688136,0.257,0.9375,0.3721,0.4442
001211,0.3397,0.9333,0.3481,0.4281
688260,0.2358,0.9286,0.4019,0.429
605133,0.3608,0.9167,0.3458,0.4791
688728,0.2678,0.9167,0.4175,0.4892
301048,0.301,0.9167,0.4596,0.4918
688319,0.2782,0.9062,0.3458,0.5359
002030,0.2629,0.9012,0.3984,0.5178
301032,0.256,0.9,0.3532,0.5394
301030,0.2899,0.9,0.7831,0.5164
300875,0.2524,0.8869,0.3417,0.6133
603759,0.2144,0.8857,0.3998,0.574
688360,0.2677,0.8848,0.4111,0.435
605151,0.2598,0.8741,0.3591,0.5636
003023,0.2944,0.8741,0.4685,0.4891
605108,0.3053,0.8715,0.3478,0.5983
300580,0.2519,0.8714,0.3541,0.5617
002033,0.2866,0.8709,0.3731,0.5104
301043,0.3025,0.8667,0.408,0.499
603171,0.242,0.8667,0.3985,0.6175
002531,0.3274,0.8635,0.3517,0.4785
688626,0.2475,0.8611,0.3534,0.5627
300935,0.2533,0.8611,0.3494,0.6076
603279,0.2929,0.8582,0.3326,0.6117
605077,0.3202,0.8571,0.3694,0.545
688778,0.3357,0.8571,0.3463,0.4843
688499,0.3127,0.8571,0.4367,0.4845
000886,0.2779,0.8556,0.3389,0.5777
300245,0.3209,0.8542,0.3435,0.5687
605398,0.3326,0.8519,0.3526,0.5755
002529,0.2929,0.8516,0.3721,0.5527
301036,0.3068,0.85,0.359,0.5326
688609,0.329,0.85,0.398,0.4953
688687,0.2547,0.8485,0.4125,0.4969
605055,0.3266,0.8444,0.3461,0.5522
300204,0.2965,0.8429,0.3703,0.5245
600595,0.2985,0.839,0.5119,0.4942
603511,0.2824,0.8333,0.4102,0.4629
300993,0.2925,0.8333,0.3934,0.4961
301067,0.3257,0.8333,0.4924,0.4546
605056,0.3404,0.8333,0.3609,0.5882
300967,0.3359,0.8254,0.3469,0.5198
605186,0.2787,0.8254,0.3806,0.5197
600192,0.2888,0.8242,0.3715,0.5378
002651,0.296,0.8242,0.3358,0.6211
605018,0.2859,0.8235,0.3726,0.4853
300881,0.2977,0.8235,0.4774,0.5712
002293,0.3138,0.8222,0.3606,0.4765
300943,0.2758,0.8214,0.4764,0.4435
301020,0.3142,0.8214,0.3731,0.4175
301015,0.2835,0.8214,0.465,0.5438
601528,0.3042,0.8214,0.4417,0.4354
600963,0.3138,0.8199,0.3701,0.4962
300952,0.3125,0.8182,0.3672,0.5317
300859,0.2755,0.8175,0.3779,0.5016
600933,0.3371,0.817,0.345,0.5532
300203,0.2821,0.8167,0.3722,0.5983
688519,0.2955,0.8157,0.3657,0.5176
601665,0.288,0.8148,0.349,0.5337
601156,0.2364,0.8148,0.4064,0.494
300920,0.3376,0.8137,0.3404,0.5463
000048,0.329,0.8134,0.3601,0.3828
000801,0.2746,0.8123,0.3825,0.4287
603181,0.2878,0.8118,0.3971,0.5303
300951,0.3226,0.8111,0.3385,0.6108
002516,0.3065,0.8098,0.362,0.6321
300730,0.2779,0.8098,0.3796,0.6401
301000,0.3269,0.8095,0.354,0.5365
002579,0.3008,0.8091,0.3914,0.5482
002364,0.2972,0.8077,0.3738,0.4886
002101,0.294,0.8077,0.3881,0.504
603660,0.2953,0.8077,0.3347,0.5529
000671,0.2702,0.8074,0.3466,0.4735
600830,0.308,0.8059,0.3378,0.6109
688311,0.2666,0.8056,0.3622,0.608
300955,0.311,0.8056,0.3577,0.526
300779,0.3315,0.8055,0.3592,0.4999
601599,0.2872,0.8053,0.3613,0.5014
002111,0.2874,0.8039,0.4399,0.4281
000837,0.2725,0.8037,0.3805,0.5422
605122,0.297,0.8025,0.4026,0.381
600702,0.2864,0.8018,0.3668,0.5551
688538,0.2618,0.8,0.3517,0.5993
301009,0.3421,0.8,0.35,0.4469
688511,0.3436,0.8,0.3459,0.492
301047,0.2936,0.8,0.3791,0.4278
688121,0.3322,0.8,0.3496,0.5117
688296,0.3457,0.8,0.3461,0.3853
300958,0.3177,0.8,0.3785,0.5057
301031,0.283,0.8,0.3744,0.4613
301059,0.2806,0.8,0.3918,0.517
002808,0.2757,0.7989,0.4247,0.3412
002659,0.2833,0.7985,0.3961,0.47
600714,0.2968,0.7982,0.3763,0.6081
603019,0.3031,0.797,0.3614,0.5263
603637,0.2797,0.7967,0.3743,0.6366
000862,0.2921,0.7958,0.4107,0.6289
300999,0.2827,0.7949,0.4077,0.5021
600497,0.3218,0.7949,0.3445,0.6567
300501,0.263,0.7941,0.3727,0.5753
300972,0.2813,0.7937,0.4208,0.5198
300406,0.2907,0.7935,0.3467,0.5795
000688,0.3068,0.7932,0.3719,0.5505
605318,0.2916,0.7932,0.3594,0.5092
002038,0.3061,0.7917,0.3701,0.474
603527,0.3252,0.7907,0.3484,0.5033
600689,0.2788,0.7899,0.3715,0.5349
688516,0.3036,0.7898,0.3476,0.5949
603158,0.2976,0.7889,0.3394,0.6456
300333,0.3313,0.7889,0.346,0.5611
603199,0.3305,0.788,0.343,0.5736
600854,0.3094,0.7862,0.3483,0.5752
605089,0.312,0.7857,0.3865,0.5528
002998,0.3361,0.7857,0.3414,0.6056
300591,0.3036,0.7857,0.3686,0.5747
301021,0.3432,0.7857,0.3485,0.4545
688559,0.3109,0.7828,0.3732,0.4846
603682,0.3231,0.7825,0.3468,0.5245
600844,0.3052,0.782,0.3489,0.6163
600502,0.3075,0.7816,0.4039,0.4062
300181,0.2966,0.7816,0.4142,0.4746
603650,0.2917,0.7815,0.3584,0.6056
605081,0.3064,0.7812,0.4298,0.4466
600455,0.2909,0.7808,0.3516,0.5284
600851,0.307,0.7802,0.3478,0.5374
600130,0.3186,0.7802,0.3307,0.6544
003020,0.334,0.7786,0.3956,0.5117
000929,0.3205,0.7784,0.3673,0.4723
600501,0.3131,0.7784,0.4014,0.6592
600605,0.284,0.7782,0.3639,0.4349
002114,0.2757,0.7782,0.3563,0.5457
300980,0.3355,0.7778,0.3439,0.5545
300978,0.2335,0.7778,0.4775,0.411
688377,0.3203,0.7778,0.3594,0.4495
688390,0.289,0.7778,0.3659,0.513
688622,0.3451,0.7778,0.3556,0.447
301017,0.3316,0.7778,0.3601,0.4262
688625,0.2949,0.7778,0.3914,0.4405
000570,0.2803,0.7778,0.3669,0.5143
601398,0.2992,0.7772,0.3758,0.4619
600566,0.3077,0.7764,0.4094,0.3424
002492,0.28,0.7759,0.4096,0.5623
300614,0.3498,0.775,0.359,0.5324
300995,0.3046,0.775,0.3952,0.4847
300688,0.3309,0.7747,0.3781,0.5183
600882,0.3048,0.7746,0.3817,0.5258
002055,0.3342,0.7739,0.354,0.5015
002269,0.3107,0.7739,0.3483,0.6425
600375,0.2892,0.7729,0.4251,0.4152
603099,0.2879,0.7727,0.3471,0.5901
600406,0.3191,0.7726,0.3456,0.5668
600229,0.3016,0.7711,0.3503,0.6158
002613,0.3198,0.7704,0.3509,0.5083
300146,0.3265,0.7701,0.351,0.5045
300042,0.3117,0.7691,0.3626,0.4649
002058,0.3278,0.7691,0.3407,0.5629
002234,0.3072,0.7691,0.3634,0.5405
603331,0.2987,0.7685,0.3663,0.6023
000919,0.2873,0.7681,0.3669,0.5585
605500,0.3284,0.7679,0.3442,0.5618
003007,0.3265,0.7677,0.3383,0.5616
603155,0.3091,0.7675,0.3557,0.6037
688012,0.3083,0.7674,0.3878,0.393
603377,0.2915,0.7674,0.3788,0.478
300525,0.314,0.7668,0.348,0.5675
300970,0.324,0.7667,0.3479,0.5786
300238,0.3039,0.7667,0.3401,0.5581
688661,0.3164,0.7667,0.3744,0.559
002503,0.2977,0.7667,0.3967,0.4654
688239,0.3127,0.7667,0.3676,0.4545
600552,0.314,0.7663,0.334,0.6425
002527,0.3189,0.7663,0.3702,0.4888
000721,0.2923,0.7656,0.3487,0.5839
605098,0.3247,0.7656,0.3386,0.6102
605086,0.3319,0.7656,0.3875,0.432
300535,0.29,0.765,0.3549,0.5664
603200,0.3359,0.7647,0.357,0.5066
601021,0.295,0.7645,0.3554,0.603
002162,0.3182,0.7641,0.3442,0.5966
300636,0.2989,0.7641,0.3523,0.5712
