datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.0179,101794.1030,24393.1030
2022-06-06,0.0000,0.0000,0.0273,104572.9283,64281.9283
2022-06-07,0.0000,0.0000,0.0101,105625.9283,64281.9283
2022-06-08,0.6319,0.6319,-0.0063,104958.4876,94037.4876
2022-06-09,0.6924,0.6924,-0.0006,104894.5713,125694.5713
2022-06-10,2.0178,2.0178,-0.0133,103494.5713,125694.5713
2022-06-13,3.9681,3.9681,-0.0199,101434.5713,125694.5713
2022-06-14,3.1965,3.9681,0.0080,102249.5713,125694.5713
2022-06-15,3.0592,3.9681,0.0014,102394.5713,125694.5713
2022-06-16,3.0394,3.9681,0.0002,102415.5713,125694.5713
2022-06-17,3.7476,3.9681,-0.0073,101667.4743,157594.4743
2022-06-20,4.9178,4.9178,-0.0122,100431.4743,157594.4743
2022-06-21,3.4929,4.9178,0.0150,101936.4743,157594.4743
2022-06-22,4.5486,4.9178,-0.0109,100821.4743,157594.4743
2022-06-23,5.9712,5.9712,-0.0149,99318.8193,180208.8193
2022-06-24,7.0230,7.0230,-0.0112,98207.8193,180208.8193
2022-06-27,7.1802,7.1802,-0.0017,98041.8193,180208.8193
2022-06-28,6.9047,7.1802,0.0030,98332.8193,180208.8193
2022-06-29,3.0060,7.1802,0.0419,102450.8193,180208.8193
2022-06-30,3.6147,7.1802,-0.0063,101807.8193,180208.8193
2022-07-01,3.3402,7.1802,0.0028,102097.8193,180208.8193
2022-07-04,7.6327,7.6327,-0.0444,97563.8193,180208.8193
2022-07-05,8.6343,8.6343,-0.0108,96505.8193,180208.8193
2022-07-06,8.8966,8.8966,-0.0029,96228.8193,180208.8193
2022-07-07,9.3605,9.3605,-0.0051,95738.8193,180208.8193
2022-07-08,8.6722,9.3605,0.0076,96465.8193,180208.8193
2022-07-11,10.9605,10.9605,-0.0251,94048.8193,180208.8193
2022-07-12,10.1576,10.9605,0.0090,94896.8193,180208.8193
2022-07-13,9.4911,10.9605,0.0074,95600.8193,180208.8193
2022-07-14,10.6679,10.9605,-0.0130,94357.8193,180208.8193
2022-07-15,9.3340,10.9605,0.0149,95766.8193,180208.8193
2022-07-18,13.5299,13.5299,-0.0463,91334.8193,180208.8193
2022-07-19,16.5424,16.5424,-0.0348,88152.8193,180208.8193
2022-07-20,16.6551,16.6551,-0.0013,88033.8193,180208.8193
2022-07-21,17.3325,17.3325,-0.0081,87318.3348,22231.3348
2022-07-22,15.9863,17.3325,0.0163,88740.2758,78453.2758
2022-07-25,10.6407,17.3325,0.0636,94386.5958,105166.5958
2022-07-26,10.6947,17.3325,-0.0006,94329.5958,105166.5958
2022-07-27,11.9728,17.3325,-0.0143,92979.4978,125553.4978
2022-07-28,12.1783,17.3325,-0.0023,92762.4978,125553.4978
2022-07-29,12.2739,17.3325,-0.0011,92661.4978,125553.4978
2022-08-01,14.9200,17.3325,-0.0302,89866.4978,125553.4978
2022-08-02,14.5985,17.3325,0.0038,90206.1478,174941.1478
2022-08-03,14.0683,17.3325,0.0062,90766.1478,174941.1478
2022-08-04,12.9474,17.3325,0.0130,91950.1478,174941.1478
2022-08-05,13.1812,17.3325,-0.0027,91703.1478,174941.1478
2022-08-08,12.8006,17.3325,0.0044,92105.1443,202948.1443
2022-08-09,11.8904,17.3325,0.0104,93066.5718,24613.5718
2022-08-10,11.6360,17.3325,0.0029,93335.3416,77521.3416
2022-08-11,9.1603,17.3325,0.0280,95950.2501,101881.2501
2022-08-12,7.2185,17.3325,0.0214,98001.3288,125560.3288
2022-08-15,8.6339,17.3325,-0.0153,96506.3288,125560.3288
2022-08-16,8.7219,17.3325,-0.0010,96413.3288,125560.3288
2022-08-17,9.5153,17.3325,-0.0087,95575.3288,125560.3288
2022-08-18,10.4701,17.3325,-0.0106,94566.8018,151661.8018
2022-08-19,9.6701,17.3325,0.0089,95411.8018,151661.8018
2022-08-22,8.8076,17.3325,0.0095,96322.8018,151661.8018
2022-08-23,9.3753,17.3325,-0.0062,95723.1736,178168.1736
2022-08-24,5.1492,17.3325,0.0466,100186.9970,224622.9970
2022-08-25,0.3010,17.3325,0.0511,105307.9970,224622.9970
2022-08-26,2.2617,17.3325,-0.0197,103237.0187,253409.0187
2022-08-29,6.3483,17.3325,-0.0418,98920.4847,302252.4847
2022-08-30,2.6835,17.3325,0.0391,102791.4847,302252.4847
2022-08-31,0.0000,17.3325,0.0818,111198.0019,320979.0019
2022-09-01,0.8024,17.3325,-0.0080,110305.7959,354754.7959
2022-09-02,3.9436,17.3325,-0.0317,106812.7959,354754.7959
2022-09-05,5.8987,17.3325,-0.0204,104638.7959,354754.7959
2022-09-06,7.8358,17.3325,-0.0206,102484.7959,354754.7959
2022-09-07,14.4006,17.3325,-0.0712,95184.7959,354754.7959
2022-09-08,15.1012,17.3325,-0.0082,94405.7959,354754.7959
2022-09-09,13.9749,17.3325,0.0133,95658.1959,385147.1959
2022-09-13,16.7276,17.3325,-0.0320,92597.1959,385147.1959
2022-09-14,14.4039,17.3325,0.0279,95181.1959,385147.1959
2022-09-15,5.7724,17.3325,0.1008,104779.1959,385147.1959
2022-09-16,6.7877,17.3325,-0.0108,103650.1792,411767.1792
2022-09-19,5.9713,17.3325,0.0088,104558.0259,437334.0259
2022-09-20,7.2366,17.3325,-0.0135,103151.0259,437334.0259
2022-09-21,2.5135,17.3325,0.0509,108403.0259,437334.0259
2022-09-22,8.3778,17.3325,-0.0602,101882.0259,437334.0259
2022-09-23,2.1232,17.3325,0.0683,108837.0087,464596.0087
2022-09-26,0.6151,17.3325,0.0154,110514.0087,464596.0087
2022-09-27,8.5586,17.3325,-0.0799,101681.0087,464596.0087
2022-09-28,0.0432,17.3325,0.0931,111150.0087,464596.0087
2022-09-29,0.0000,17.3325,0.0064,111860.0087,464596.0087
2022-09-30,0.0000,17.3325,0.0875,121643.0087,464596.0087
2022-10-10,0.0000,17.3325,0.0314,125458.8310,47780.8310
2022-10-11,0.0000,17.3325,0.0705,134306.0805,186748.0805
2022-10-12,0.0000,17.3325,0.0111,135791.0712,162541.0712
2022-10-13,2.4655,17.3325,-0.0247,132443.1630,202164.1630
2022-10-14,7.6106,17.3325,-0.0528,125456.5106,307147.5106
2022-10-17,7.3124,17.3325,0.0032,125861.5106,307147.5106
2022-10-18,10.4293,17.3325,-0.0336,121629.0613,348934.0613
2022-10-19,8.5551,17.3325,0.0209,124174.0613,348934.0613
2022-10-20,7.2369,17.3325,0.0144,125964.0613,348934.0613
2022-10-21,7.2891,17.3325,-0.0006,125893.0613,348934.0613
2022-10-24,4.2912,17.3325,0.0323,129964.0613,348934.0613
2022-10-25,6.1440,17.3325,-0.0194,127448.0613,348934.0613
2022-10-26,10.7088,17.3325,-0.0486,121249.5276,397936.5276
2022-10-27,11.5696,17.3325,-0.0096,120080.5276,397936.5276
2022-10-28,1.8238,17.3325,0.1102,133314.5276,397936.5276
