datetime,buysell
2022-06-01,"[('buy', '001209'), ('buy', '688778'), ('buy', '688499')]"
2022-06-02,"[('sell', '688499'), ('sell', '688499')]"
2022-06-07,"[('sell', '688778')]"
2022-06-08,"[('sell', '001209')]"
2022-06-16,"[('sell', '688778')]"
2022-06-22,"[('sell', '001209')]"
2022-07-20,"[('buy', '301024'), ('buy', '688776'), ('buy', '301087'), ('buy', '688136'), ('buy', '605108'), ('buy', '001213')]"
2022-07-21,"[('sell', '301024'), ('sell', '605108')]"
2022-07-22,"[('sell', '688136')]"
2022-07-26,"[('sell', '688776')]"
2022-08-01,"[('sell', '688136'), ('sell', '301087')]"
2022-08-05,"[('sell', '001213')]"
2022-08-08,"[('buy', '301035'), ('buy', '605567'), ('buy', '688776'), ('buy', '688499'), ('buy', '301087'), ('buy', '301083'), ('buy', '688269')]"
2022-08-09,"[('sell', '688776'), ('sell', '301083')]"
2022-08-10,"[('sell', '688269')]"
2022-08-11,"[('sell', '301035')]"
2022-08-17,"[('sell', '688269')]"
2022-08-22,"[('sell', '688499')]"
2022-08-23,"[('sell', '688776'), ('sell', '301083')]"
2022-08-25,"[('sell', '301035')]"
2022-08-26,"[('sell', '301087'), ('sell', '301087')]"
2022-08-30,"[('sell', '688776')]"
2022-08-31,"[('sell', '605108')]"
2022-09-08,"[('sell', '605567')]"
2022-09-15,"[('sell', '001213')]"
2022-09-16,"[('sell', '301024')]"
2022-09-22,"[('sell', '605567')]"
2022-09-30,"[('buy', '301024'), ('buy', '605567'), ('buy', '001209'), ('buy', '688776'), ('buy', '301083'), ('buy', '301048'), ('buy', '688707'), ('buy', '300929'), ('buy', '603759'), ('buy', '001217'), ('buy', '002030')]"
2022-10-10,"[('sell', '001209'), ('sell', '688776'), ('sell', '300929'), ('sell', '002030')]"
2022-10-11,"[('buy', '001209'), ('buy', '688776'), ('sell', '603759')]"
2022-10-12,"[('sell', '001217')]"
2022-10-13,"[('sell', '688707'), ('sell', '301024'), ('sell', '301083'), ('sell', '688707')]"
2022-10-17,"[('sell', '301048')]"
2022-10-25,"[('sell', '301024')]"
2022-11-07,"[('sell', '301048')]"
