code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
301083,0.2808,1.0,0.6519,0.4523
301086,0.285,1.0,0.7865,0.4853
603171,0.3376,1.0,0.6379,0.5101
605011,0.2879,1.0,0.672,0.527
301025,0.3191,1.0,0.6094,0.4922
001219,0.2787,1.0,0.6993,0.4379
301068,0.3272,1.0,0.6973,0.3759
688075,0.3465,1.0,0.6218,0.5688
688319,0.1545,1.0,0.6524,0.6203
688622,0.3299,1.0,0.6421,0.4454
301003,0.2421,1.0,0.9311,0.3369
605090,0.2561,1.0,0.6592,0.57
001288,0.3023,1.0,0.632,0.5438
301076,0.2843,1.0,0.9476,0.5066
301061,0.3462,1.0,0.6229,0.5762
688367,0.2618,0.9667,0.6556,0.44
300945,0.4115,0.9643,0.7815,0.5848
688059,0.4535,0.9608,0.6259,0.4182
603305,0.4251,0.9586,0.6662,0.5135
688329,0.2386,0.9429,0.8946,0.5115
600605,0.3073,0.9286,0.9118,0.506
300939,0.4563,0.9231,0.6253,0.4371
002162,0.3346,0.9214,0.8081,0.4018
688296,0.346,0.9,0.6236,0.4386
300920,0.3763,0.8922,0.8032,0.4858
002364,0.5059,0.8919,0.6196,0.5558
603516,0.3688,0.8891,1.7037,0.3744
688800,0.3174,0.8889,0.5997,0.6555
688509,0.2908,0.8889,0.6545,0.5397
688219,0.3967,0.8889,0.8384,0.4452
688626,0.3932,0.8889,0.6728,0.5268
002424,0.5106,0.8864,1.4439,0.377
603565,0.312,0.8842,0.6725,0.4075
002133,0.4913,0.8793,0.6998,0.5332
301065,0.2925,0.875,0.6729,0.5136
301013,0.2897,0.875,0.602,0.4371
688038,0.3403,0.875,0.645,0.4075
300905,0.3501,0.875,0.6398,0.5843
002405,0.3484,0.875,0.9589,0.5324
600481,0.4312,0.8727,0.732,0.4604
600422,0.3899,0.8722,1.3287,0.4541
000697,0.5227,0.8714,0.6154,0.4751
002636,0.3811,0.8697,0.7208,0.5418
603519,0.3251,0.8681,1.103,0.4943
600503,0.3439,0.8678,0.7302,0.7188
002297,0.4563,0.8659,0.6185,0.5326
688513,0.3499,0.8636,0.779,0.5308
300823,0.315,0.8621,0.9008,0.6262
300856,0.4298,0.8607,0.6869,0.534
300193,0.3598,0.8605,0.8376,0.62
300690,0.4829,0.8602,0.6039,0.5349
000762,0.5171,0.86,0.6252,0.4596
600148,0.3466,0.8574,0.8386,0.6083
301023,0.2393,0.8571,0.8057,0.4946
300068,0.4761,0.8569,0.5881,0.5505
002242,0.3495,0.8564,1.0235,0.3819
300816,0.3544,0.856,0.7726,0.6417
300838,0.3794,0.8558,0.8152,0.5057
300931,0.1905,0.8529,0.7918,0.6323
600649,0.4307,0.8527,0.6819,0.599
002324,0.3566,0.8527,0.8744,0.4987
300797,0.3599,0.8514,0.7027,0.5514
002465,0.3614,0.8514,0.9709,0.6236
688536,0.3891,0.851,0.6845,0.5121
002240,0.4154,0.85,1.2064,0.4718
301035,0.33,0.85,0.6602,0.4738
003042,0.2842,0.85,0.8357,0.477
600067,0.3744,0.8496,0.9126,0.5262
002057,0.4657,0.8458,0.6681,0.6336
000042,0.3812,0.8455,0.68,0.5993
603339,0.4823,0.8442,0.6513,0.5902
300909,0.4003,0.8442,0.6156,0.5754
688667,0.3929,0.8438,0.7893,0.6104
301008,0.3151,0.8438,0.6041,0.5287
688681,0.3916,0.8438,0.6265,0.4989
603681,0.3679,0.8436,1.1026,0.4456
000977,0.3686,0.8413,0.8393,0.5675
002952,0.4226,0.8407,0.7919,0.3922
603867,0.4447,0.8406,0.6446,0.5584
300711,0.3974,0.8406,1.2234,0.3738
605305,0.2945,0.8393,0.6421,0.5876
002513,0.3589,0.8391,1.0555,0.5253
605228,0.3738,0.8382,0.6618,0.508
603321,0.4076,0.837,0.7006,0.5116
300799,0.4428,0.8364,0.698,0.5202
300329,0.3619,0.8346,0.7923,0.5615
688090,0.383,0.8344,0.8438,0.5226
688776,0.2098,0.8333,0.8476,0.5605
688786,0.3377,0.8333,0.625,0.4978
688793,0.3387,0.8333,0.62,0.5759
301066,0.3356,0.8333,0.6755,0.5359
688799,0.3248,0.8333,0.7462,0.5236
600206,0.3999,0.8333,0.8865,0.4619
002598,0.4397,0.8296,0.6178,0.5036
603068,0.47,0.8295,0.6838,0.5862
688566,0.3847,0.829,0.7494,0.5062
603759,0.3098,0.8286,0.8581,0.5299
002559,0.437,0.828,0.61,0.5495
002416,0.3844,0.8279,0.6812,0.5552
300707,0.4941,0.8278,0.6174,0.52
603338,0.3607,0.8276,0.7787,0.4943
688379,0.3894,0.8259,0.8856,0.5604
300290,0.3997,0.8259,0.9859,0.3524
300449,0.4065,0.8258,0.8567,0.5495
601600,0.4467,0.8257,0.6535,0.5806
688117,0.2023,0.825,0.8432,0.4154
002664,0.5329,0.8243,0.6183,0.4274
300697,0.4024,0.8222,0.8663,0.3472
002365,0.3912,0.8218,0.7328,0.4809
301004,0.2763,0.8214,0.8288,0.5933
300334,0.4254,0.8214,0.6209,0.575
300409,0.3852,0.82,0.8396,0.538
002274,0.3702,0.8199,0.8616,0.5751
300878,0.3626,0.8193,0.7426,0.4872
300990,0.2476,0.8182,0.8225,0.375
002882,0.503,0.8177,0.6144,0.6572
603456,0.4584,0.8167,0.8499,0.3634
002771,0.3988,0.8167,0.8971,0.502
605208,0.2675,0.8167,0.8682,0.6634
605196,0.3476,0.8163,0.6286,0.5217
603167,0.4568,0.8161,0.6666,0.3254
603607,0.3927,0.815,0.6845,0.5447
603800,0.4075,0.8134,0.8098,0.4181
300831,0.4622,0.8132,0.7927,0.5129
601188,0.4306,0.8132,0.8752,0.3968
300019,0.4089,0.8127,1.2909,0.3806
000402,0.5153,0.8127,0.6375,0.6209
603679,0.4985,0.8123,0.679,0.4685
603896,0.4395,0.812,0.6993,0.5602
603871,0.4011,0.8117,0.6839,0.4861
600218,0.4355,0.8116,0.978,0.4369
002887,0.4584,0.8114,0.6591,0.6283
300252,0.4974,0.8084,0.6223,0.6111
603186,0.5035,0.8084,0.6702,0.4755
000886,0.4267,0.8074,0.6492,0.512
002016,0.4323,0.8062,0.7143,0.3835
688488,0.3407,0.8059,1.4292,0.4248
300952,0.2514,0.8052,1.1167,0.487
601882,0.4343,0.8043,0.7148,0.4382
600570,0.4461,0.8024,0.6302,0.5208
300631,0.4438,0.8018,1.0423,0.5008
002255,0.4211,0.8018,0.7314,0.5832
603416,0.4384,0.8007,0.9394,0.5382
603660,0.4296,0.8004,0.759,0.4674
688501,0.3066,0.8,0.6937,0.4643
002679,0.4173,0.8,0.8818,0.4224
605599,0.2494,0.8,0.751,0.4865
601126,0.4105,0.8,0.8613,0.4872
605287,0.2946,0.8,0.7378,0.4984
601999,0.4428,0.8,0.6743,0.4458
000695,0.4671,0.8,0.7938,0.4098
600066,0.4512,0.7985,0.6964,0.5291
603667,0.4073,0.7982,0.7227,0.5644
605099,0.335,0.7981,0.8216,0.3934
300948,0.3528,0.7976,0.6905,0.5346
600776,0.4302,0.797,0.8363,0.4371
000712,0.4046,0.797,0.6795,0.4876
688157,0.3252,0.7963,0.8824,0.5421
002480,0.4355,0.7963,0.6511,0.6435
300868,0.3809,0.7958,0.8302,0.5842
002976,0.4441,0.7957,0.7005,0.4469
688500,0.5185,0.7955,0.6571,0.5454
002749,0.4122,0.7951,0.7794,0.4299
300877,0.4352,0.7939,0.6349,0.4239
300674,0.4517,0.7932,1.1237,0.5695
601898,0.4135,0.7932,0.5084,0.7271
600876,0.4129,0.793,0.7935,0.5164
002877,0.4207,0.7926,0.6384,0.6813
002408,0.4637,0.7924,0.9004,0.4827
600301,0.453,0.7917,0.6414,0.6001
002988,0.4401,0.7917,0.8286,0.5329
600731,0.4265,0.7917,0.7314,0.5148
601963,0.3814,0.7912,0.7057,0.5123
002213,0.4183,0.7899,0.6952,0.6129
300450,0.5039,0.7895,0.6298,0.5727
000010,0.4223,0.7891,0.8769,0.4703
600316,0.4422,0.7875,0.7764,0.5053
688215,0.37,0.7875,1.1665,0.5008
688609,0.3685,0.7875,0.8985,0.5498
603682,0.4672,0.7875,0.782,0.5384
300779,0.4289,0.7873,1.4272,0.4103
605001,0.4267,0.7869,0.7961,0.4807
300406,0.4307,0.7862,0.8335,0.5305
001210,0.2266,0.7857,1.0248,0.3773
