datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.0017,100174.5845,6314.5845
2022-06-06,0.0000,0.0000,0.0145,101629.5845,6314.5845
2022-06-07,1.1116,1.1116,-0.0111,100499.8950,37064.8950
2022-06-08,1.4398,1.4398,-0.0033,100166.3550,71216.3550
2022-06-09,2.1974,2.1974,-0.0077,99396.3550,71216.3550
2022-06-10,1.3611,2.1974,0.0086,100246.3550,71216.3550
2022-06-13,1.4840,2.1974,-0.0012,100121.3550,71216.3550
2022-06-14,1.9908,2.1974,-0.0051,99606.3550,71216.3550
2022-06-15,1.7940,2.1974,0.0020,99806.3550,71216.3550
2022-06-16,1.6267,2.1974,0.0017,99976.3550,71216.3550
2022-06-17,0.7510,2.1974,0.0089,100866.3550,71216.3550
2022-06-20,0.9625,2.1974,-0.0021,100651.3550,71216.3550
2022-06-21,1.2430,2.1974,-0.0028,100366.3550,71216.3550
2022-06-22,1.8776,2.1974,-0.0064,99721.3550,71216.3550
2022-06-23,1.4152,2.1974,0.0047,100191.3550,71216.3550
2022-06-24,0.8100,2.1974,0.0061,100806.3550,71216.3550
2022-06-27,0.0000,2.1974,0.0096,101771.3550,71216.3550
2022-06-28,0.1572,2.1974,-0.0016,101611.3550,71216.3550
2022-06-29,0.4127,2.1974,-0.0026,101351.3550,71216.3550
2022-06-30,0.2751,2.1974,0.0014,101491.3550,71216.3550
2022-07-01,0.6338,2.1974,-0.0036,101126.3550,71216.3550
2022-07-04,0.8401,2.1974,-0.0021,100916.3550,71216.3550
2022-07-05,1.1398,2.1974,-0.0030,100611.3550,71216.3550
2022-07-06,1.3707,2.1974,-0.0023,100376.3550,71216.3550
2022-07-07,1.4395,2.1974,-0.0007,100306.3550,71216.3550
2022-07-08,1.1595,2.1974,0.0028,100591.3550,71216.3550
2022-07-11,1.8964,2.1974,-0.0075,99841.3550,71216.3550
2022-07-12,2.6530,2.6530,-0.0077,99071.3550,71216.3550
2022-07-13,2.5842,2.6530,0.0007,99141.3550,71216.3550
2022-07-14,2.0389,2.6530,0.0056,99696.3550,71216.3550
2022-07-15,1.4051,2.6530,0.0065,100341.3550,71216.3550
2022-07-18,0.7124,2.6530,0.0070,101046.3550,71216.3550
2022-07-19,0.5552,2.6530,0.0016,101206.3550,71216.3550
2022-07-20,0.5945,2.6530,-0.0004,101166.3550,71216.3550
2022-07-21,0.6534,2.6530,-0.0006,101106.3550,71216.3550
2022-07-22,0.9138,2.6530,-0.0026,100841.3550,71216.3550
2022-07-25,1.2037,2.6530,-0.0029,100546.3550,71216.3550
2022-07-26,0.0000,2.6530,0.0430,104873.8385,104873.8385
2022-07-27,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-07-28,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-07-29,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-01,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-02,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-03,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-04,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-05,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-08,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-09,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-10,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-11,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-12,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-15,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-16,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-17,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-18,0.0000,2.6530,0.0000,104873.8385,104873.8385
2022-08-19,2.5503,2.6530,-0.0255,102199.1922,143849.1922
2022-08-22,2.2166,2.6530,0.0034,102549.1922,143849.1922
2022-08-23,0.0000,2.6530,0.0273,105349.1922,143849.1922
2022-08-24,1.2957,2.6530,-0.0130,103984.1922,143849.1922
2022-08-25,1.1960,2.6530,0.0010,104089.1922,143849.1922
2022-08-26,0.0000,2.6530,0.0208,106259.1922,143849.1922
2022-08-29,0.8564,2.6530,-0.0086,105349.1922,143849.1922
2022-08-30,0.0000,2.6530,0.0249,107974.1922,143849.1922
2022-08-31,0.0000,2.6530,0.0146,109549.1922,143849.1922
2022-09-01,0.0000,2.6530,0.0089,110529.1922,143849.1922
2022-09-02,0.4117,2.6530,-0.0041,110074.1922,143849.1922
2022-09-05,0.0000,2.6530,0.0089,111054.1922,143849.1922
2022-09-06,0.0000,2.6530,0.0022,111299.1922,143849.1922
2022-09-07,0.9120,2.6530,-0.0091,110284.1922,143849.1922
2022-09-08,0.0000,2.6530,0.0101,111396.9089,170735.9089
2022-09-09,0.0000,2.6530,0.0019,111613.9089,170735.9089
2022-09-13,0.0000,2.6530,0.0014,111767.9089,170735.9089
2022-09-14,0.0000,2.6530,0.0068,112523.9089,170735.9089
2022-09-15,0.0000,2.6530,0.0040,112978.9089,170735.9089
2022-09-16,0.0000,2.6530,0.0103,114140.9089,170735.9089
2022-09-19,0.0000,2.6530,0.0036,114553.9089,170735.9089
2022-09-20,0.5622,2.6530,-0.0056,113909.9089,170735.9089
2022-09-21,0.5561,2.6530,0.0001,113916.9089,170735.9089
2022-09-22,0.5194,2.6530,0.0004,113958.9089,170735.9089
2022-09-23,0.0244,2.6530,0.0050,114525.9089,170735.9089
2022-09-26,0.0000,2.6530,0.0035,114931.9089,170735.9089
2022-09-27,0.5177,2.6530,-0.0052,114336.9089,170735.9089
2022-09-28,0.0000,2.6530,0.0156,116121.9089,170735.9089
2022-09-29,0.0000,2.6530,0.0072,116961.9089,170735.9089
2022-09-30,0.0000,2.6530,0.0081,117913.9089,170735.9089
2022-10-10,0.0000,2.6530,0.0107,119173.9089,170735.9089
2022-10-11,0.0000,2.6530,0.0036,119600.9089,170735.9089
2022-10-12,1.1998,2.6530,-0.0120,118165.9089,170735.9089
2022-10-13,1.7266,2.6530,-0.0053,117535.9089,170735.9089
2022-10-14,3.0961,3.0961,-0.0139,115897.9089,170735.9089
2022-10-17,3.6697,3.6697,-0.0059,115211.9089,170735.9089
2022-10-18,3.8394,3.8394,-0.0018,115008.9089,170735.9089
2022-10-19,3.3478,3.8394,0.0051,115596.9089,170735.9089
2022-10-20,3.4356,3.8394,-0.0009,115491.9089,170735.9089
2022-10-21,3.7516,3.8394,-0.0033,115113.9089,170735.9089
2022-10-24,2.9381,3.8394,0.0085,116086.9089,170735.9089
2022-10-25,2.1889,3.8394,0.0077,116982.9089,170735.9089
2022-10-26,3.3478,3.8394,-0.0118,115596.9089,170735.9089
2022-10-27,3.4356,3.8394,-0.0009,115491.9089,170735.9089
2022-10-28,0.7023,3.8394,0.0283,118760.9089,170735.9089
