code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
688768,0.3365,1.0,0.3435,0.5035
301048,0.3182,1.0,0.4086,0.5254
605196,0.3266,1.0,0.4007,0.4274
001212,0.3154,1.0,0.3541,0.4342
300990,0.2949,1.0,0.4544,0.4069
603529,0.3467,1.0,0.3423,0.6438
688517,0.3001,1.0,0.3881,0.4548
605090,0.3432,1.0,0.3463,0.5641
688385,0.2821,1.0,0.4409,0.5732
688329,0.2705,1.0,0.4146,0.5893
301002,0.3443,1.0,0.3498,0.458
688097,0.3344,1.0,0.3513,0.572
300993,0.3428,1.0,0.3548,0.3899
301039,0.2339,1.0,0.6852,0.5109
300774,0.2809,1.0,0.4793,0.4768
301023,0.2344,1.0,0.5847,0.4429
301050,0.3106,1.0,0.3979,0.5116
300994,0.3183,1.0,0.3667,0.4848
301013,0.3405,1.0,0.3386,0.4684
300923,0.2202,1.0,0.5274,0.4873
301010,0.2208,1.0,0.3907,0.4799
601921,0.2691,1.0,0.3687,0.4311
688117,0.3338,1.0,0.3476,0.52
001208,0.2859,1.0,0.3753,0.5535
605577,0.3204,1.0,0.3961,0.6353
605277,0.2956,0.9846,0.4097,0.5417
300412,0.2829,0.9761,0.3568,0.4905
002531,0.2675,0.9703,0.3674,0.5699
603931,0.2893,0.9643,0.3744,0.381
600338,0.3017,0.9529,0.3857,0.4014
605158,0.2929,0.95,0.3645,0.4123
000151,0.2816,0.9432,0.346,0.6178
003042,0.3393,0.9429,0.3714,0.4846
300882,0.323,0.9412,0.3933,0.5662
300988,0.2497,0.9375,0.4572,0.5097
300648,0.3283,0.9365,0.3596,0.5577
002514,0.2593,0.9341,0.3758,0.5179
603519,0.3315,0.9294,0.347,0.58
003023,0.3438,0.9293,0.3406,0.6773
300111,0.2477,0.9271,0.3441,0.6696
000969,0.313,0.925,0.3496,0.4972
002951,0.3065,0.9224,0.3578,0.5038
688216,0.3421,0.9167,0.3434,0.563
002386,0.3335,0.9167,0.3391,0.6496
600613,0.3137,0.9151,0.3512,0.4455
603629,0.3092,0.9144,0.3662,0.5584
002288,0.2199,0.9116,0.4492,0.5211
002046,0.2959,0.9116,0.3633,0.4809
603367,0.342,0.9062,0.3622,0.489
002519,0.3493,0.9005,0.3464,0.4933
300943,0.3231,0.9,0.3691,0.4606
603218,0.2886,0.9,0.3711,0.5073
300718,0.3313,0.899,0.3464,0.4545
603859,0.3467,0.898,0.3432,0.6931
002272,0.3443,0.897,0.3453,0.5064
000782,0.3131,0.8954,0.3853,0.4091
605255,0.3024,0.8947,0.3758,0.5682
003022,0.2379,0.8933,0.3646,0.6069
688639,0.3282,0.8929,0.3493,0.3921
605058,0.345,0.8922,0.3479,0.4794
002444,0.3129,0.8918,0.3438,0.5604
002297,0.3109,0.8912,0.3299,0.6542
603985,0.3166,0.8902,0.3707,0.4867
300949,0.2759,0.8889,0.3877,0.5555
600550,0.3358,0.8871,0.3495,0.4184
605133,0.2977,0.8864,0.3853,0.408
000880,0.2919,0.8847,0.355,0.6175
688608,0.3125,0.8846,0.4306,0.551
002213,0.321,0.8844,0.3561,0.4307
000739,0.2694,0.8844,0.383,0.5581
300554,0.3406,0.8841,0.3477,0.5198
002848,0.2753,0.8833,0.3524,0.5827
300399,0.3411,0.8821,0.3532,0.4551
002416,0.2462,0.8821,0.4155,0.4691
002666,0.2973,0.8821,0.3572,0.5157
600353,0.3188,0.8818,0.3662,0.4815
000973,0.3449,0.8818,0.3468,0.4736
300552,0.3434,0.881,0.3425,0.5074
002782,0.3339,0.88,0.3556,0.4124
603917,0.3349,0.8798,0.3673,0.3308
300499,0.2794,0.8795,0.3799,0.5484
002660,0.3193,0.8776,0.3456,0.5291
