datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.0427,104271.6420,2543.6420
2022-06-06,0.0000,0.0000,0.0344,107855.6420,2543.6420
2022-06-07,2.0323,2.0323,-0.0203,105663.6420,2543.6420
2022-06-08,4.2575,4.2575,-0.0227,103263.6420,2543.6420
2022-06-09,5.2440,5.2440,-0.0103,102199.6420,2543.6420
2022-06-10,3.8570,5.2440,0.0146,103695.6420,2543.6420
2022-06-13,3.1672,5.2440,0.0072,104439.6420,2543.6420
2022-06-14,4.1092,5.2440,-0.0097,103423.6420,2543.6420
2022-06-15,4.8361,5.2440,-0.0076,102639.6420,2543.6420
2022-06-16,3.4713,5.2440,0.0143,104111.6420,2543.6420
2022-06-17,0.0000,5.2440,0.0398,108255.6420,2543.6420
2022-06-20,0.0000,5.2440,0.0273,111215.5775,42471.5775
2022-06-21,0.6186,5.2440,-0.0062,110527.5775,42471.5775
2022-06-22,1.2229,5.2440,-0.0061,109855.5775,42471.5775
2022-06-23,0.2518,5.2440,0.0098,110935.5775,42471.5775
2022-06-24,0.0000,5.2440,0.0071,111719.5775,42471.5775
2022-06-27,0.0000,5.2440,0.0068,112479.5775,42471.5775
2022-06-28,0.0000,5.2440,0.0223,114983.5775,42471.5775
2022-06-29,2.6369,5.2440,-0.0264,111951.5775,42471.5775
2022-06-30,2.3099,5.2440,0.0034,112327.5775,42471.5775
2022-07-01,2.7621,5.2440,-0.0046,111807.5775,42471.5775
2022-07-04,2.2473,5.2440,0.0053,112399.5775,42471.5775
2022-07-05,2.8317,5.2440,-0.0060,111727.5775,42471.5775
2022-07-06,2.0873,5.2440,0.0077,112583.5775,42471.5775
2022-07-07,1.0506,5.2440,0.0106,113775.5775,42471.5775
2022-07-08,0.0000,5.2440,0.0372,118005.5515,82565.5515
2022-07-11,0.4746,5.2440,-0.0047,117445.5515,82565.5515
2022-07-12,0.9491,5.2440,-0.0048,116885.5515,82565.5515
2022-07-13,0.4068,5.2440,0.0055,117525.5515,82565.5515
2022-07-14,0.0000,5.2440,0.0088,118565.5515,82565.5515
2022-07-15,0.3374,5.2440,-0.0034,118165.5515,82565.5515
2022-07-18,0.0000,5.2440,0.0081,119125.5515,82565.5515
2022-07-19,0.0000,5.2440,0.0027,119445.5515,82565.5515
2022-07-20,0.0000,5.2440,0.0013,119605.5515,82565.5515
2022-07-21,0.3010,5.2440,-0.0030,119245.5515,82565.5515
2022-07-22,0.3010,5.2440,0.0000,119245.5515,82565.5515
2022-07-25,1.0033,5.2440,-0.0070,118405.5515,82565.5515
2022-07-26,0.4013,5.2440,0.0061,119125.5515,82565.5515
2022-07-27,0.0000,5.2440,0.0067,119925.5515,82565.5515
2022-07-28,0.0000,5.2440,0.0093,121045.5515,82565.5515
2022-07-29,0.7600,5.2440,-0.0076,120125.5515,82565.5515
2022-08-01,0.7678,5.2440,-0.0001,120116.1615,120116.1615
2022-08-02,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-03,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-04,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-05,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-08,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-09,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-10,0.7678,5.2440,0.0000,120116.1615,120116.1615
2022-08-11,1.1466,5.2440,-0.0038,119657.6137,159097.6137
2022-08-12,1.8736,5.2440,-0.0074,118777.6137,159097.6137
2022-08-15,2.6006,5.2440,-0.0074,117897.6137,159097.6137
2022-08-16,1.6093,5.2440,0.0102,119097.6137,159097.6137
2022-08-17,2.4023,5.2440,-0.0081,118137.6137,159097.6137
2022-08-18,2.8980,5.2440,-0.0051,117537.6137,159097.6137
2022-08-19,2.1049,5.2440,0.0082,118497.6137,159097.6137
2022-08-22,2.4354,5.2440,-0.0034,118097.6137,159097.6137
2022-08-23,3.1293,5.2440,-0.0071,117257.6137,159097.6137
2022-08-24,0.0000,5.2440,0.0358,121457.6137,159097.6137
2022-08-25,0.0000,5.2440,0.0036,121897.6137,159097.6137
2022-08-26,1.2469,5.2440,-0.0125,120377.6137,159097.6137
2022-08-29,0.2297,5.2440,0.0103,121617.6137,159097.6137
2022-08-30,0.0000,5.2440,0.0132,123217.6137,159097.6137
2022-08-31,0.0000,5.2440,0.0162,125217.6137,159097.6137
2022-09-01,0.0000,5.2440,0.0045,125777.6137,159097.6137
2022-09-02,0.4452,5.2440,-0.0045,125217.6137,159097.6137
2022-09-05,0.2226,5.2440,0.0022,125497.6137,159097.6137
2022-09-06,1.0495,5.2440,-0.0083,124457.6137,159097.6137
2022-09-07,1.7809,5.2440,-0.0074,123537.6137,159097.6137
2022-09-08,1.7173,5.2440,0.0006,123617.6137,159097.6137
2022-09-09,1.5583,5.2440,0.0016,123817.6137,159097.6137
2022-09-13,1.6219,5.2440,-0.0006,123737.6137,159097.6137
2022-09-14,1.2085,5.2440,0.0042,124257.6137,159097.6137
2022-09-15,0.0000,5.2440,0.0126,125817.6137,159097.6137
2022-09-16,0.0000,5.2440,0.0086,126897.6137,159097.6137
2022-09-19,0.0000,5.2440,0.0060,127657.6137,159097.6137
2022-09-20,0.8460,5.2440,-0.0085,126577.6137,159097.6137
2022-09-21,1.0340,5.2440,-0.0019,126337.6137,159097.6137
2022-09-22,1.2847,5.2440,-0.0025,126017.6137,159097.6137
2022-09-23,1.1280,5.2440,0.0016,126217.6137,159097.6137
2022-09-26,0.4073,5.2440,0.0073,127137.6137,159097.6137
2022-09-27,0.6580,5.2440,-0.0025,126817.6137,159097.6137
2022-09-28,0.0000,5.2440,0.0123,128377.6137,159097.6137
2022-09-29,0.0935,5.2440,-0.0009,128257.6137,159097.6137
2022-09-30,0.0000,5.2440,0.0044,128817.6137,159097.6137
2022-10-10,0.0000,5.2440,0.0043,129377.6137,159097.6137
2022-10-11,0.4328,5.2440,-0.0043,128817.6137,159097.6137
2022-10-12,1.2058,5.2440,-0.0078,127817.6137,159097.6137
2022-10-13,1.3294,5.2440,-0.0013,127657.6137,159097.6137
2022-10-14,1.7623,5.2440,-0.0044,127097.6137,159097.6137
2022-10-17,2.1333,5.2440,-0.0038,126617.6137,159097.6137
2022-10-18,2.0405,5.2440,0.0009,126737.6137,159097.6137
2022-10-19,1.8860,5.2440,0.0016,126937.6137,159097.6137
2022-10-20,1.8241,5.2440,0.0006,127017.6137,159097.6137
2022-10-21,1.8241,5.2440,0.0000,127017.6137,159097.6137
2022-10-24,2.1951,5.2440,-0.0038,126537.6137,159097.6137
2022-10-25,2.8753,5.2440,-0.0070,125657.6137,159097.6137
2022-10-26,2.6898,5.2440,0.0019,125897.6137,159097.6137
2022-10-27,2.3497,5.2440,0.0035,126337.6137,159097.6137
2022-10-28,1.4531,5.2440,0.0092,127497.6137,159097.6137
