code,min_valid_loss,max_valid_auc,min_test_loss,max_test_auc
300984,0.3412,1.0,0.3528,0.4138
301048,0.3176,1.0,0.3943,0.5235
605090,0.344,1.0,0.3465,0.5445
688038,0.3275,1.0,0.3629,0.462
605196,0.323,1.0,0.4134,0.4307
688385,0.2862,1.0,0.4685,0.5716
301010,0.2222,1.0,0.3882,0.4755
300774,0.2819,1.0,0.4641,0.4693
300990,0.3084,1.0,0.4325,0.3996
688305,0.3909,1.0,0.3575,0.4418
001208,0.2796,1.0,0.4032,0.5581
300844,0.3182,1.0,0.355,0.5338
301009,0.3056,1.0,0.3707,0.4685
688117,0.3323,1.0,0.3465,0.5299
688097,0.3333,1.0,0.3482,0.5485
001212,0.3155,1.0,0.3505,0.4496
300993,0.343,1.0,0.3546,0.4044
301050,0.3091,1.0,0.3931,0.5056
688517,0.2994,1.0,0.4157,0.4504
300994,0.3181,1.0,0.3678,0.4131
300923,0.2276,1.0,0.4772,0.4998
301013,0.3406,1.0,0.3376,0.4758
601921,0.2755,1.0,0.3682,0.4285
301002,0.3438,1.0,0.35,0.4421
300698,0.2533,0.9944,0.3789,0.493
003020,0.3371,0.9688,0.3508,0.5886
603931,0.2898,0.9643,0.3736,0.3906
600550,0.3246,0.9624,0.3501,0.4403
300565,0.2943,0.9474,0.3771,0.4518
300412,0.3002,0.9469,0.368,0.3884
002531,0.2798,0.9451,0.3759,0.6103
601369,0.2775,0.9409,0.3583,0.5705
605277,0.2963,0.9385,0.4061,0.5405
603529,0.344,0.9375,0.3336,0.6466
300111,0.2343,0.9365,0.3423,0.6349
300882,0.3309,0.9346,0.4215,0.5269
605086,0.3383,0.9333,0.3692,0.4863
003023,0.3437,0.9293,0.3402,0.6692
000792,0.3277,0.9286,0.3856,0.4793
002201,0.3377,0.9282,0.3443,0.599
003022,0.2368,0.92,0.3637,0.6216
002708,0.294,0.9199,0.4278,0.5262
000151,0.2901,0.9185,0.3638,0.6116
600405,0.3299,0.9184,0.3552,0.4306
600819,0.3428,0.9153,0.3462,0.537
605133,0.2927,0.9091,0.4027,0.4105
300086,0.2214,0.9087,0.327,0.6597
688079,0.3287,0.9074,0.3714,0.5482
000969,0.3356,0.9045,0.3453,0.4725
300943,0.3256,0.9,0.3829,0.4812
002209,0.2755,0.8981,0.4433,0.5442
300499,0.2864,0.8977,0.41,0.5944
002289,0.272,0.8961,0.3496,0.5539
300853,0.3329,0.8942,0.3848,0.501
300395,0.3101,0.8941,0.3714,0.4866
002837,0.2371,0.8935,0.3671,0.4876
300947,0.313,0.8909,0.3463,0.5113
002434,0.2257,0.8894,0.3736,0.5495
300949,0.2517,0.8889,0.3868,0.5571
002514,0.2467,0.8886,0.3957,0.5287
002160,0.3448,0.8886,0.3517,0.5869
605255,0.3043,0.8882,0.3881,0.5883
603985,0.3006,0.8879,0.3785,0.5159
600469,0.2716,0.8878,0.3469,0.5306
600338,0.321,0.8871,0.3641,0.4233
600125,0.2782,0.8856,0.3494,0.4647
000880,0.3044,0.8847,0.3555,0.6137
300409,0.337,0.8847,0.3956,0.4003
300907,0.3407,0.8846,0.3453,0.6078
300399,0.342,0.8844,0.3518,0.4262
002386,0.3005,0.8843,0.3439,0.5591
002848,0.2851,0.8833,0.3496,0.6349
688335,0.319,0.8833,0.3581,0.4896
603956,0.271,0.8824,0.3565,0.5468
002416,0.2425,0.8821,0.4021,0.5001
601700,0.2791,0.881,0.379,0.5273
300068,0.2788,0.8787,0.4385,0.5221
002825,0.2892,0.8776,0.3621,0.5144
000543,0.2775,0.8773,0.3597,0.4709
300748,0.284,0.8773,0.346,0.5911
002297,0.3041,0.8753,0.3282,0.6579
688004,0.2233,0.8745,0.3731,0.5507
000070,0.275,0.8741,0.3619,0.4579
600602,0.2327,0.8741,0.5978,0.4027
600490,0.2388,0.8729,0.4471,0.3862
600246,0.3095,0.8727,0.3729,0.4226
300597,0.2873,0.8719,0.3979,0.4456
002046,0.297,0.8707,0.3701,0.463
300212,0.2963,0.8707,0.4144,0.4181
300001,0.343,0.8707,0.3488,0.5715
603633,0.3264,0.8705,0.3729,0.3458
003010,0.3421,0.8701,0.3531,0.5516
300807,0.3142,0.8696,0.3507,0.5202
603367,0.343,0.8696,0.3628,0.4867
605318,0.2827,0.8684,0.3498,0.5207
300480,0.319,0.8682,0.3635,0.5267
600129,0.2753,0.8673,0.3545,0.5426
688393,0.2816,0.8667,0.4145,0.5205
600148,0.2653,0.8659,0.3357,0.6288
601163,0.3139,0.8659,0.3513,0.5466
300582,0.3341,0.865,0.3565,0.4876
688028,0.345,0.865,0.3519,0.398
600162,0.3161,0.8642,0.3603,0.4987
300331,0.3442,0.8639,0.3475,0.415
002547,0.317,0.8639,0.3885,0.3462
300543,0.3494,0.8639,0.3473,0.4939
603829,0.3352,0.8635,0.3499,0.4811
600694,0.3015,0.8634,0.38,0.5827
002284,0.2693,0.8627,0.3706,0.5668
000756,0.3024,0.8622,0.3976,0.3708
002625,0.3209,0.8617,0.3421,0.6005
603499,0.2762,0.8614,0.3872,0.508
600458,0.2805,0.8614,0.4097,0.5602
002161,0.3266,0.8604,0.3606,0.4219
002007,0.2923,0.8594,0.4223,0.4863
300222,0.3417,0.8591,0.3474,0.483
002544,0.3079,0.8591,0.3588,0.5287
300105,0.2783,0.8582,0.3565,0.5198
688268,0.3243,0.8581,0.3521,0.5147
688201,0.3313,0.8571,0.3658,0.5324
300955,0.342,0.8571,0.3493,0.5133
300957,0.3312,0.8571,0.3863,0.4299
300310,0.2713,0.8568,0.4218,0.4921
002172,0.2922,0.8568,0.4623,0.4468
603922,0.2612,0.8564,0.4856,0.4263
603527,0.242,0.8558,0.4291,0.4182
603659,0.3066,0.8558,0.3825,0.4573
603912,0.3232,0.8558,0.3571,0.6031
002644,0.3397,0.8541,0.3756,0.4291
002230,0.3111,0.8534,0.3463,0.5277
688536,0.308,0.8526,0.3515,0.5421
601609,0.3412,0.852,0.3484,0.533
300117,0.2765,0.852,0.3538,0.622
300224,0.3076,0.8519,0.3661,0.5412
002652,0.3097,0.8515,0.3852,0.5322
003007,0.3357,0.8506,0.3449,0.4894
688359,0.344,0.85,0.3552,0.4782
688076,0.3478,0.85,0.3442,0.3996
002431,0.3249,0.85,0.3708,0.4483
300074,0.3364,0.8494,0.3516,0.3812
603530,0.3442,0.849,0.3745,0.3965
002132,0.3266,0.8471,0.3395,0.6211
000739,0.2708,0.8469,0.3979,0.5498
002613,0.3232,0.8462,0.3513,0.4915
603003,0.3154,0.8458,0.3781,0.4876
603918,0.3117,0.8444,0.3554,0.6164
300747,0.3253,0.8435,0.337,0.6512
002388,0.2897,0.8432,0.3813,0.4567
300841,0.3442,0.8431,0.3496,0.5745
605258,0.2115,0.8431,0.5182,0.6121
002203,0.3007,0.8424,0.3617,0.5562
601003,0.3423,0.8421,0.3583,0.3921
002860,0.3361,0.8409,0.3501,0.5386
002148,0.2751,0.8403,0.5151,0.5212
300609,0.272,0.84,0.3891,0.5861
600456,0.3445,0.8398,0.35,0.6349
300636,0.284,0.8382,0.3827,0.5962
002660,0.3248,0.8376,0.3552,0.5266
002683,0.2606,0.8375,0.4499,0.403
603950,0.2613,0.8373,0.5749,0.4567
600705,0.2761,0.8365,0.3673,0.5693
603686,0.3271,0.8364,0.3638,0.4876
300342,0.3019,0.8364,0.3717,0.4884
600111,0.269,0.8364,0.4328,0.5153
603105,0.2737,0.8352,0.3787,0.4894
600099,0.3004,0.8352,0.3947,0.4378
600895,0.3466,0.8345,0.358,0.4822
300702,0.3204,0.8342,0.3508,0.4995
002455,0.2771,0.8341,0.414,0.4299
600085,0.3321,0.8341,0.3567,0.43
002317,0.2907,0.8341,0.4036,0.5033
603787,0.3116,0.8341,0.3488,0.5052
300604,0.3361,0.8333,0.3816,0.4958
300615,0.3057,0.8333,0.3512,0.4367
301033,0.3396,0.8333,0.3531,0.4485
603324,0.347,0.8333,0.3526,0.5016
300979,0.3452,0.8333,0.3498,0.5487
603937,0.2904,0.8329,0.508,0.4375
603192,0.3074,0.8322,0.3379,0.5946
300520,0.2771,0.8318,0.383,0.5323
