datetime,drawdown,maxdrawdown,timereturn,value,cash
2022-12-12,nan,nan,nan,nan,nan
2022-06-01,0.0000,0.0000,0.0000,100000.0000,100000.0000
2022-06-02,0.0000,0.0000,0.0166,101664.2100,4816.2100
2022-06-06,0.0000,0.0000,0.0636,108130.2100,4816.2100
2022-06-07,0.8757,0.8757,-0.0088,107183.3360,72935.3360
2022-06-08,1.2308,1.2308,-0.0036,106799.3360,72935.3360
2022-06-09,0.4540,1.2308,0.0079,107639.3360,72935.3360
2022-06-10,0.7425,1.2308,-0.0029,107327.3360,72935.3360
2022-06-13,1.1642,1.2308,-0.0042,106871.3360,72935.3360
2022-06-14,1.7857,1.7857,-0.0063,106199.3360,72935.3360
2022-06-15,1.4528,1.7857,0.0034,106559.3360,72935.3360
2022-06-16,1.6081,1.7857,-0.0016,106391.3360,72935.3360
2022-06-17,1.5637,1.7857,0.0005,106439.3360,72935.3360
2022-06-20,0.4540,1.7857,0.0113,107639.3360,72935.3360
2022-06-21,0.7203,1.7857,-0.0027,107351.3360,72935.3360
2022-06-22,0.6759,1.7857,0.0004,107399.3360,72935.3360
2022-06-23,0.7869,1.7857,-0.0011,107279.3360,72935.3360
2022-06-24,0.5427,1.7857,0.0025,107543.3360,72935.3360
2022-06-27,0.0000,1.7857,0.0144,109087.2152,110209.2152
2022-06-28,0.0000,1.7857,0.0151,110731.2152,110209.2152
2022-06-29,0.0000,1.7857,0.0071,111519.2152,110209.2152
2022-06-30,1.0617,1.7857,-0.0106,110335.2152,110209.2152
2022-07-01,1.7163,1.7857,-0.0066,109605.2152,110209.2152
2022-07-04,0.6654,1.7857,0.0107,110777.2152,110209.2152
2022-07-05,0.2636,1.7857,0.0040,111225.2152,110209.2152
2022-07-06,0.0000,1.7857,0.0060,111891.2152,110209.2152
2022-07-07,0.0000,1.7857,0.0038,112313.2152,110209.2152
2022-07-08,0.0000,1.7857,0.0369,116453.1892,150303.1892
2022-07-11,0.0000,1.7857,0.0160,118313.1892,150303.1892
2022-07-12,0.0000,1.7857,0.0122,119753.1892,150303.1892
2022-07-13,0.4843,1.7857,-0.0048,119173.1892,150303.1892
2022-07-14,1.8789,1.8789,-0.0140,117503.1892,150303.1892
2022-07-15,1.8288,1.8789,0.0005,117563.1892,150303.1892
2022-07-18,1.9540,1.9540,-0.0013,117413.1892,150303.1892
2022-07-19,2.0459,2.0459,-0.0009,117303.1892,150303.1892
2022-07-20,2.0125,2.0459,0.0003,117343.1892,150303.1892
2022-07-21,2.6471,2.6471,-0.0065,116583.1892,150303.1892
2022-07-22,1.7202,2.6471,0.0095,117693.1892,150303.1892
2022-07-25,2.1377,2.6471,-0.0042,117193.1892,150303.1892
2022-07-26,2.2296,2.6471,-0.0009,117083.1892,150303.1892
2022-07-27,3.5824,3.5824,-0.0138,115463.1892,150303.1892
2022-07-28,5.0771,5.0771,-0.0155,113673.1892,150303.1892
2022-07-29,5.1356,5.1356,-0.0006,113603.1892,150303.1892
2022-08-01,4.8934,5.1356,0.0026,113893.1892,150303.1892
2022-08-02,4.0082,5.1356,0.0093,114953.1892,150303.1892
2022-08-03,3.3736,5.1356,0.0066,115713.1892,150303.1892
2022-08-04,3.3068,5.1356,0.0007,115793.1892,150303.1892
2022-08-05,3.7911,5.1356,-0.0050,115213.1892,150303.1892
2022-08-08,4.9435,5.1356,-0.0120,113833.1892,150303.1892
2022-08-09,5.1523,5.1523,-0.0022,113583.1892,150303.1892
2022-08-10,6.1376,6.1376,-0.0104,112403.1892,150303.1892
2022-08-11,5.7368,6.1376,0.0043,112883.1892,150303.1892
2022-08-12,4.5928,6.1376,0.0121,114253.1892,150303.1892
2022-08-15,4.7932,6.1376,-0.0021,114013.1892,150303.1892
2022-08-16,4.7264,6.1376,0.0007,114093.1892,150303.1892
2022-08-17,4.5594,6.1376,0.0018,114293.1892,150303.1892
2022-08-18,5.2525,6.1376,-0.0073,113463.1892,150303.1892
2022-08-19,3.8245,6.1376,0.0151,115173.1892,150303.1892
2022-08-22,3.8329,6.1376,-0.0001,115163.1892,150303.1892
2022-08-23,3.7410,6.1376,0.0010,115273.1892,150303.1892
2022-08-24,2.8475,6.1376,0.0093,116343.1892,150303.1892
2022-08-25,2.1294,6.1376,0.0074,117203.1892,150303.1892
2022-08-26,1.8288,6.1376,0.0031,117563.1892,150303.1892
2022-08-29,1.7119,6.1376,0.0012,117703.1892,150303.1892
2022-08-30,1.5031,6.1376,0.0021,117953.1892,150303.1892
2022-08-31,0.6430,6.1376,0.0087,118983.1892,150303.1892
2022-09-01,0.0000,6.1376,0.0081,119943.1892,150303.1892
2022-09-02,0.0000,6.1376,0.0003,119983.1892,150303.1892
2022-09-05,0.0000,6.1376,0.0002,120003.1892,150303.1892
2022-09-06,0.0000,6.1376,0.0018,120223.1892,150303.1892
2022-09-07,0.0000,6.1376,0.0017,120423.1892,150303.1892
2022-09-08,0.0000,6.1376,0.0083,121423.1892,150303.1892
2022-09-09,0.0000,6.1376,0.0037,121873.1892,150303.1892
2022-09-13,0.2462,6.1376,-0.0025,121573.1892,150303.1892
2022-09-14,0.0574,6.1376,0.0019,121803.1892,150303.1892
2022-09-15,0.0000,6.1376,0.0099,123013.1892,150303.1892
2022-09-16,0.0000,6.1376,0.0023,123293.1892,150303.1892
2022-09-19,0.0000,6.1376,0.0064,124083.1892,150303.1892
2022-09-20,0.0887,6.1376,-0.0009,123973.1892,150303.1892
2022-09-21,0.4594,6.1376,-0.0037,123513.1892,150303.1892
2022-09-22,1.0719,6.1376,-0.0062,122753.1892,150303.1892
2022-09-23,1.0154,6.1376,0.0006,122823.1892,150303.1892
2022-09-26,1.5312,6.1376,-0.0052,122183.1892,150303.1892
2022-09-27,1.5232,6.1376,0.0001,122193.1892,150303.1892
2022-09-28,0.3788,6.1376,0.0116,123613.1892,150303.1892
2022-09-29,0.3385,6.1376,0.0004,123663.1892,150303.1892
2022-09-30,0.0000,6.1376,0.0133,125303.1892,150303.1892
2022-10-10,0.0000,6.1376,0.0103,126593.1892,150303.1892
2022-10-11,0.4819,6.1376,-0.0048,125983.1892,150303.1892
2022-10-12,1.5088,6.1376,-0.0103,124683.1892,150303.1892
2022-10-13,1.5799,6.1376,-0.0007,124593.1892,150303.1892
2022-10-14,1.7931,6.1376,-0.0022,124323.1892,150303.1892
2022-10-17,2.2039,6.1376,-0.0042,123803.1892,150303.1892
2022-10-18,2.4014,6.1376,-0.0020,123553.1892,150303.1892
2022-10-19,2.1249,6.1376,0.0028,123903.1892,150303.1892
2022-10-20,2.7174,6.1376,-0.0061,123153.1892,150303.1892
2022-10-21,2.4330,6.1376,0.0029,123513.1892,150303.1892
2022-10-24,3.1439,6.1376,-0.0073,122613.1892,150303.1892
2022-10-25,3.9734,6.1376,-0.0086,121563.1892,150303.1892
2022-10-26,4.6132,6.1376,-0.0067,120753.1892,150303.1892
2022-10-27,4.7396,6.1376,-0.0013,120593.1892,150303.1892
2022-10-28,4.4947,6.1376,0.0026,120903.1892,150303.1892
